DestinationKey;DestinationAirpotId;Destination;DestinationCityName;DestinationState
1;1;31283;DDC;Dodge City
2;2;30325;DEN;Denver
3;3;31453;IAH;Houston
4;4;31865;GCC;Gillette
5;5;30967;CGI;Cape Girardeau
6;6;34543;RKS;Rock Springs
7;7;31027;CKB;Clarksburg/Fairmont
8;8;30977;ORD;Chicago
9;9;33344;MKG;Muskegon
10;10;34109;PIB;Hattiesburg/Laurel
11;11;32519;JMS;Jamestown
12;12;31471;EAU;Eau Claire
13;13;32888;LAR;Laramie
14;14;31468;EAR;Kearney
15;15;30852;IAD;Washington
16;16;32899;LBF;North Platte
17;17;32559;JST;Johnstown
18;18;33241;MEI;Meridian
19;19;34877;SLN;Salina
20;20;30558;BFF;Scottsbluff
21;21;34812;SHR;Sheridan
22;22;33832;OGS;Ogdensburg
23;23;35569;VCT;Victoria
24;24;34288;PUB;Pueblo
25;25;31725;FOD;Fort Dodge
26;26;30693;BNA;Nashville
27;27;34653;TUL;Tulsa
28;28;32575;BUR;Burbank
29;29;34696;SBN;South Bend
30;30;30189;COS;Colorado Springs
31;31;33158;MAF;Midland/Odessa
32;32;34236;SBP;San Luis Obispo
33;33;31503;EGE;Eagle
34;34;31423;DSM;Des Moines
35;35;30994;CHS;Charleston
36;36;30647;CLE;Cleveland
37;37;33105;CVG;Cincinnati
38;38;33792;RDD;Redding
39;39;32457;SFO;San Francisco
40;40;34922;MRY;Monterey
41;41;30713;BOI;Boise
42;42;31638;FAT;Fresno
43;43;34457;RAP;Rapid City
44;44;32575;LAX;Los Angeles
45;45;31295;DTW;Detroit
46;46;33851;OKC;Oklahoma City
47;47;34614;SLC;Salt Lake City
48;48;30397;ATL;Atlanta
49;49;32389;XWA;Williston
50;50;33485;MSN;Madison
51;51;30372;ASE;Aspen
52;52;31775;FSD;Sioux Falls
53;53;30466;PHX;Phoenix
54;54;30617;BIH;Bishop
55;55;31834;XNA;Fayetteville
56;56;30157;ACV;Arcata/Eureka
57;57;31003;CID;Cedar Rapids/Iowa City
58;58;32337;IND;Indianapolis
59;59;30140;ABQ;Albuquerque
60;60;34262;PSP;Palm Springs
61;61;34689;SBA;Santa Barbara
62;62;34433;STS;Santa Rosa
63;63;34986;SRQ;Sarasota/Bradenton
64;64;30721;PVD;Providence
65;65;33367;MLI;Moline
66;66;30423;AUS;Austin
67;67;33342;MKE;Milwaukee
68;68;30436;TUS;Tucson
69;69;34489;RDM;Bend/Redmond
70;70;31057;CLT;Charlotte
71;71;31823;FWA;Fort Wayne
72;72;30852;DCA;Washington
73;73;33964;OTH;North Bend/Coos Bay
74;74;30980;CHA;Chattanooga
75;75;30615;ELP;El Paso
76;76;33192;SMF;Sacramento
77;77;31603;EUG;Eugene
78;78;34570;RNO;Reno
79;79;31895;GTF;Great Falls
80;80;32575;ONT;Ontario
81;81;34685;SAV;Savannah
82;82;31921;GJT;Grand Junction
83;83;30849;BZN;Bozeman
84;84;33044;SDF;Louisville
85;85;32441;JAC;Jackson
86;86;30599;BHM;Birmingham
87;87;31637;FAR;Fargo
88;88;30561;BFL;Bakersfield
89;89;34252;PSC;Pasco/Kennewick/Richland
90;90;34699;HDN;Hayden
91;91;33502;MTJ;Montrose/Delta
92;92;32255;HYS;Hays
93;93;32896;LBB;Lubbock
94;94;30928;ICT;Wichita
95;95;33211;MCW;Mason City
96;96;34534;RIW;Riverton/Lander
97;97;34794;SGU;St. George
98;98;35138;TBN;Fort Leonard Wood
99;99;34237;PRC;Prescott
100;100;32511;JLN;Joplin
101;101;30272;ALS;Alamosa
102;102;31288;DEC;Decatur
103;103;35582;VEL;Vernal
104;104;34006;PAH;Paducah
105;105;32902;LBL;Liberal
106;106;35048;SUX;Sioux City
107;107;34802;SHD;Staunton
108;108;31447;DVL;Devils Lake
109;109;30747;BRO;Brownsville
110;110;31092;CNY;Moab
111;111;31076;CMX;Hancock/Houghton
112;112;34025;PBG;Plattsburgh
113;113;33121;LWB;Lewisburg
114;114;30627;BIS;Bismarck/Mandan
115;115;32206;HRL;Harlingen/San Benito
116;116;33264;MFR;Medford
117;117;31123;STL;St. Louis
118;118;30279;AMA;Amarillo
119;119;34783;SGF;Springfield
120;120;32575;SNA;Santa Ana
121;121;33198;MCI;Kansas City
122;122;31097;COD;Cody
123;123;30408;ATW;Appleton
124;124;32280;IDA;Idaho Falls
125;125;31066;CMH;Columbus
126;126;30194;DFW;Dallas/Fort Worth
127;127;31871;GSP;Greer
128;128;31703;LGA;New York
129;129;31650;MSP;Minneapolis
130;130;33667;ORF;Norfolk
131;131;35096;SYR;Syracuse
132;132;32177;HOB;Hobbs
133;133;33495;MSY;New Orleans
134;134;30285;DRO;Durango
135;135;30431;AVL;Asheville
136;136;30434;AVP;Scranton/Wilkes-Barre
137;137;34574;ROA;Roanoke
138;138;32945;LEX;Lexington
139;139;33316;OMA;Omaha
140;140;35380;TVC;Traverse City
141;141;31122;CPR;Casper
142;142;33127;LWS;Lewiston
143;143;35412;TYS;Knoxville
144;144;32156;HLN;Helena
145;145;33570;SAN;San Diego
146;146;34057;PDX;Portland
147;147;30559;SEA;Seattle
148;148;32012;GUC;Gunnison
149;149;33244;MEM;Memphis
150;150;31140;CRP;Corpus Christi
151;151;30255;HSV;Huntsville
152;152;31884;GEG;Spokane
153;153;31648;FCA;Kalispell
154;154;32211;LAS;Las Vegas
155;155;31233;CYS;Cheyenne
156;156;30779;BTM;Butte
157;157;30785;BTV;Burlington
158;158;31977;GRB;Green Bay
159;159;35041;SUN;Sun Valley/Hailey/Ketchum
160;160;33214;SAT;San Antonio
161;161;31721;FNT;Flint
162;162;31986;GRR;Grand Rapids
163;163;33304;MOT;Minot
164;164;31205;LCH;Lake Charles
165;165;31136;JAX;Jacksonville
166;166;33256;MFE;Mission/McAllen/Edinburg
167;167;30257;ALB;Albany
168;168;31504;VPS;Valparaiso
169;169;30198;PIT;Pittsburgh
170;170;30721;BOS;Boston
171;171;31703;HPN;White Plains
172;172;32457;SJC;San Jose
173;173;30620;BIL;Billings
174;174;34588;ROW;Roswell
175;175;32474;COU;Columbia
176;176;32600;LIT;Little Rock
177;177;30562;MOB;Mobile
178;178;31778;FSM;Fort Smith
179;179;32547;RST;Rochester
180;180;34674;SAF;Santa Fe
181;181;30781;BTR;Baton Rouge
182;182;33290;MHK;Manhattan/Ft. Riley
183;183;31150;CSG;Columbus
184;184;31695;FLG;Flagstaff
185;185;32575;LGB;Long Beach
186;186;32448;JAN;Jackson/Vicksburg
187;187;35323;TRI;Bristol/Johnson City/Kingsport
188;188;32070;MDT;Harrisburg
189;189;33785;YUM;Yuma
190;190;33038;LRD;Laredo
191;191;31612;EVV;Evansville
192;192;34576;ROC;Rochester
193;193;31703;EWR;Newark
194;194;34524;RIC;Richmond
195;195;30868;CAE;Columbia
196;196;30852;BWI;Baltimore
197;197;31049;CLL;College Station/Bryan
198;198;31453;HOU;Houston
199;199;30792;BUF;Buffalo
200;200;31267;DAY;Dayton
201;201;30194;DAL;Dallas
202;202;32457;OAK;Oakland
203;203;33486;MSO;Missoula
204;204;30529;BDL;Hartford
205;205;31337;DLH;Duluth
206;206;31537;ELM;Elmira/Corning
207;207;33184;MBS;Saginaw/Bay City/Midland
208;208;31587;ESC;Escanaba
209;209;30333;APN;Alpena
210;210;33076;LSE;La Crosse
211;211;34150;PLN;Pellston
212;212;31898;GFK;Grand Forks
213;213;34711;SCE;State College
214;214;33459;MQT;Marquette
215;215;32129;HIB;Hibbing
216;216;30631;BJI;Bemidji
217;217;30918;CDC;Cedar City
218;218;34113;PIH;Pocatello
219;219;32335;IMT;Iron Mountain/Kingsfd
220;220;32343;INL;International Falls
221;221;34100;PHL;Philadelphia
222;222;35389;TWF;Twin Falls
223;223;30141;ABR;Aberdeen
224;224;30739;BRD;Brainerd
225;225;34321;PWM;Portland
226;226;31525;EKO;Elko
227;227;34520;RHI;Rhinelander
228;228;31013;CIU;Sault Ste. Marie
229;229;32884;LAN;Lansing
230;230;33728;PNS;Pensacola
231;231;36101;YKM;Yakima
232;232;31517;FAI;Fairbanks
233;233;30299;ANC;Anchorage
234;234;34004;PAE;Everett
235;235;30275;ALW;Walla Walla
236;236;30245;AKN;King Salmon
237;237;34303;PUW;Pullman
238;238;31470;EAT;Wenatchee
239;239;31336;DLG;Dillingham
240;240;30666;BLI;Bellingham
241;241;30977;MDW;Chicago
242;242;31454;MCO;Orlando
243;243;31481;ECP;Panama City
244;244;32467;FLL;Fort Lauderdale
245;245;32467;MIA;Miami
246;246;31135;MYR;Myrtle Beach
247;247;34027;PBI;West Palm Beach/Palm Beach
248;248;34492;RDU;Raleigh/Durham
249;249;31714;RSW;Fort Myers
250;250;33195;TPA;Tampa
251;251;31703;ISP;Islip
252;252;30721;MHT;Manchester
253;253;34819;SJU;San Juan
254;254;32402;ITO;Hilo
255;255;32758;KOA;Kona
256;256;32982;LIH;Lihue
257;257;33830;OGG;Kahului
258;258;32134;HNL;Honolulu
259;259;31703;JFK;New York
260;260;30990;CHO;Charlottesville
261;261;30731;BQK;Brunswick
262;262;30476;SHV;Shreveport
263;263;35550;VLD;Valdosta
264;264;33795;OAJ;Jacksonville/Camp Lejeune
265;265;30685;BMI;Bloomington/Normal
266;266;32323;ILM;Wilmington
267;267;31624;EYW;Key West
268;268;32951;LFT;Lafayette
269;269;31146;CRW;Charleston/Dunbar
270;270;30469;AZO;Kalamazoo
271;271;30146;ABY;Albany
272;272;31308;DHN;Dothan
273;273;30424;CWA;Mosinee
274;274;30208;AGS;Augusta
275;275;30135;ABE;Allentown/Bethlehem/Easton
276;276;31995;GSO;Greensboro/High Point
277;277;30185;AEX;Alexandria
278;278;33377;MLU;Monroe
279;279;31953;GNV;Gainesville
280;280;30894;GTR;Columbus
281;281;33277;MGM;Montgomery
282;282;31973;GPT;Gulfport/Biloxi
283;283;30581;BGR;Bangor
284;284;31641;FAY;Fayetteville
285;285;32397;ITH;Ithaca/Cortland
286;286;30577;BGM;Binghamton
287;287;33933;ORH;Worcester
288;288;34945;STT;Charlotte Amalie
289;289;34992;STX;Christiansted
290;290;31252;DAB;Daytona Beach
291;291;30647;CAK;Akron
292;292;33139;LYH;Lynchburg
293;293;33667;PHF;Newport News/Williamsburg
294;294;30361;ART;Watertown
295;295;34704;SBY;Salisbury
296;296;31699;FLO;Florence
297;297;34092;PGV;Greenville
298;298;35249;TLH;Tallahassee
299;299;32223;HTS;Ashland
300;300;30113;BET;Bethel
301;301;30107;BRW;Barrow
302;302;30073;SCC;Deadhorse
303;303;31401;KTN;Ketchikan
304;304;32523;JNU;Juneau
305;305;30913;CDV;Cordova
306;306;35991;YAK;Yakutat
307;307;34828;SIT;Sitka
308;308;35841;WRG;Wrangell
309;309;34256;PSG;Petersburg
310;310;30070;ADQ;Kodiak
311;311;33873;OME;Nome
312;312;33970;OTZ;Kotzebue
313;313;30165;ADK;Adak Island
314;314;30732;BQN;Aguadilla
315;315;34254;PSE;Ponce
316;316;33360;MLB;Melbourne
317;317;35356;TTN;Trenton
318;318;31703;SWF;Newburgh/Poughkeepsie
319;319;32320;ILG;Wilmington
320;320;33195;PIE;St. Petersburg
321;321;31066;LCK;Columbus
322;322;30466;AZA;Phoenix
323;323;34082;PGD;Punta Gorda
324;324;32265;IAG;Niagara Falls
325;325;34761;SFB;Sanford
326;326;34716;SCK;Stockton
327;327;32544;USA;Concord
328;328;34952;SPI;Springfield
329;329;30676;BLV;Belleville
330;330;34259;PSM;Portsmouth
331;331;34905;SMX;Santa Maria
332;332;34314;PVU;Provo
333;333;34108;PIA;Peoria
334;334;34512;RFD;Rockford
335;335;31980;GRI;Grand Island
336;336;32119;HGR;Hagerstown
337;337;32131;OGD;Ogden
338;338;32556;STC;St. Cloud
339;339;35165;TOL;Toledo
340;340;33983;OWB;Owensboro
341;341;34222;PPG;Pago Pago
342;342;30158;ACY;Atlantic City
343;343;32898;LBE;Latrobe
344;344;31577;ERI;Erie
345;345;31617;EWN;New Bern/Morehead/Beaufort
346;346;32124;HHH;Hilton Head
347;347;35411;TYR;Tyler
348;348;31905;GGG;Longview
349;349;31982;GRK;Killeen
350;350;35074;SWO;Stillwater
351;351;30155;ACT;Waco
352;352;30136;ABI;Abilene
353;353;32891;LAW;Lawton/Fort Sill
354;354;31335;DRT;Del Rio
355;355;31867;GCK;Garden City
356;356;31274;DBQ;Dubuque
357;357;31067;CMI;Champaign/Urbana
358;358;34842;SJT;San Angelo
359;359;34960;SPS;Wichita Falls
360;360;35401;TXK;Texarkana
361;361;30268;ALO;Waterloo
362;362;30728;BPT;Beaumont/Port Arthur
363;363;32016;GUM;Guam
364;364;34955;SPN;Saipan
365;365;33029;LNK;Lincoln
366;366;34231;PQI;Presque Isle/Houlton
367;367;31315;DIK;Dickinson
